lambda_n,n,lambda_k,k,alpha,Optical characterization and bandgap engineering of flat and wrinkle-textured FA0.83Cs0.17Pb(I1–xBrx)3 perovskite thin films https://doi.org/10.1063/1.5025728
764.024,2.273,756.003,0.019,3259.0,
768.333,2.267,760.308,0.017,2873.0,
772.642,2.261,764.612,0.016,2608.0,
776.951,2.256,768.917,0.014,2296.0,
781.26,2.251,771.786,0.014,2287.0,
785.569,2.247,776.897,0.01,1700.0,
789.877,2.242,783.118,0.01,1686.0,
794.186,2.238,789.338,0.009,1399.0,
798.495,2.234,796.69,0.007,1099.0,
802.804,2.23,804.042,0.005,820.9,
807.113,2.226,810.828,0.005,813.9,
811.422,2.222,817.048,0.002,264.0,
815.731,2.218,822.005,0.001,154.4,
820.04,2.214,826.309,0.0,15.36,
824.348,2.21,830.614,0.0,0.0,
828.657,2.206,834.918,0.0,0.0,
832.966,2.201,839.222,0.0,0.0,
837.275,2.195,843.527,0.0,0.0,
841.584,2.188,847.831,0.0,0.0,
845.893,2.177,852.136,0.0,0.0,
849.124,2.171,856.082,0.0,0.0,
